,Freq.0,Freq.1,Freq.2,Freq.3,Freq.4,Freq.5,Freq.6,Freq.7,Freq.8,Freq.9,Freq.10,Freq.11
Hepatocyte 15weeks Animal1,10.58,3.63,37.96,3.71,1.74,6.87,4.26,7.1,8.45,11.76,1.42,2.53
Hepatocyte 15weeks Animal2,24.11,17.4,1.61,2.87,6.01,11.46,12.58,8.81,6.22,2.87,3.28,2.8
Hepatocyte 15weeks Animal3,16.19,9.51,0.57,1.04,16.33,13.87,18.6,7.67,7.76,1.85,2.7,3.93
Hepatocyte Chow Animal1,19.87,17.75,2.61,29.48,11.4,8.31,1.79,2.61,1.47,0.49,1.63,2.61
Hepatocyte Chow Animal2,38.01,26.92,0.23,5.66,10.41,6.56,1.36,2.71,1.36,2.94,1.36,2.49
Hepatocyte Chow Animal3,20.5,15.86,0.71,32.44,7.13,11.59,1.25,2.5,1.78,2.14,1.6,2.5
Hepatocyte Chow Animal4,32.29,14.03,1.11,6.24,14.03,10.91,2,7.35,2.45,2.45,2.45,4.68
Hepatocyte Chow Animal5,27.62,15.86,3.68,2.55,19.55,6.23,1.84,11.05,2.83,3.4,1.27,4.11
Hepatocyte Chow Animal6,28.86,18.52,2.68,4.03,17.58,3.49,4.16,10.34,3.89,1.21,0.94,4.3
NPC 15weeks Animal1,1.08,7.53,40.86,18.28,3.23,3.23,0,0,3.23,18.28,3.23,1.08
NPC 15weeks Animal2,2.63,13.16,11.84,27.63,2.63,1.32,1.32,1.32,6.58,25,3.95,2.63
NPC 15weeks Animal3,0,2.17,48.37,9.78,0.54,0,0,0,5.98,17.93,7.07,8.15
NPC Chow Animal1,2,7.2,30.4,24,0.4,0.4,0,0,4.8,12.8,13.6,4.4
NPC Chow Animal2,2.58,5.02,23.53,38.88,1.29,0.57,0.14,0,2.44,8.03,16.36,1.15
NPC Chow Animal3,1.6,3.85,41.67,19.55,0.96,0.32,0,0,4.17,13.46,12.18,2.24
